chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.338055,0.027948,2842.948867,4322.916759,6570.586186,0.04105,-462.169586,90.311272,19.073769,24.046888,-0.092606,5.963933,-12.073119,-1.526925,-6.735845,-9.344831,-14.181895,-6.686564,0.902086,-7.251551,-1.198342,4.747403,-4.986279,0.953935,-5.013138,-6.77906,1
0.443766,0.037838,2336.129597,3445.777044,3764.949874,0.04773,-409.413422,120.348808,-7.161531,5.114784,8.610174,12.799644,-5.787597,0.616004,-2.976074,-5.181348,0.372541,-2.131157,-6.876417,-1.359395,0.326401,-5.420016,-2.109968,-1.757634,-9.537907,-8.494421,1
0.302528,0.056578,2692.988386,2861.13318,4716.610271,0.080342,-318.996033,120.490273,-24.625771,23.891073,-9.747897,-3.531111,-11.336594,-6.498098,-5.284181,-6.848886,-3.099179,-5.853725,-3.724773,-6.627182,-5.117002,-6.072106,-0.994653,-1.61712,-3.922354,-7.033001,1
0.319933,0.031504,2241.665382,3503.766175,3798.641521,0.04718,-404.636749,136.320908,2.308172,-3.907071,1.098719,3.880799,-3.773643,-4.476427,-3.023442,0.556712,1.513633,-1.898315,-2.046493,-7.176277,-3.293508,4.209121,0.121835,-5.407063,-3.654926,-3.274857,1
0.420055,0.016158,2526.069123,3102.659519,5025.077899,0.051905,-410.497925,152.7314,-18.266771,51.993462,-3.085768,28.561596,-9.867888,-9.3495,11.894113,-0.487473,11.086248,-1.95234,0.810868,6.238493,6.555839,7.535542,2.849219,2.616843,-1.793357,-5.060998,1
0.44288,0.012317,3952.880304,3702.717829,7104.089991,0.115387,-498.179657,97.245255,-21.382017,45.624386,-4.801195,4.281012,0.801404,0.979967,-3.598243,-6.983132,1.654981,-6.466366,2.856888,-0.157036,-2.824058,0.383832,-1.089466,2.998828,-5.218136,-1.423959,1
0.453897,0.021782,4178.07215,3698.644769,7508.242075,0.131647,-410.383087,97.026733,-22.508402,49.689598,-9.772815,15.507648,-21.412237,0.411867,-15.416398,-3.314621,-8.828218,-5.320498,-4.209944,-2.051953,-0.714617,-7.889741,-0.377954,-8.421499,-5.800948,-12.060839,1
0.474154,0.011107,3993.039753,3948.154333,7872.563956,0.114879,-440.81897,103.029533,-21.213911,49.066498,-12.316722,10.145463,-23.286537,-4.307806,-10.743447,-2.13327,-5.966704,2.81023,-2.150585,-1.529685,3.354003,-6.589828,5.678379,-2.742477,-5.159016,-10.969421,1
0.60269,0.00097,3815.431438,3992.517515,6887.564689,0.121769,-539.965088,94.81163,-51.38866,33.196476,23.802444,15.993781,4.187063,-0.832919,3.997949,-9.330546,9.036678,-1.619109,10.417936,-9.675606,-0.937404,0.909395,4.827445,5.055848,-3.618021,5.053717,1
0.453962,0.017612,2894.560788,3435.434131,5663.232422,0.065904,-403.053009,138.07962,-20.038134,39.301231,-11.307232,5.105095,-20.28385,3.761172,-0.708812,3.151992,-8.09888,0.496345,-0.003924,0.801856,3.294856,-5.852333,-1.849402,-7.108891,-0.818681,-7.824217,1
0.380452,0.013588,3406.201378,3608.799222,6248.114049,0.096522,-455.064209,128.114868,-18.574629,37.118149,-10.465494,4.148803,-18.576956,-9.405392,-1.707514,-19.466003,-1.218753,-5.018829,-7.69634,-2.843391,-8.954207,1.489262,-12.237355,-5.034584,-2.208317,-5.719028,1
0.455847,0.043719,3563.81031,3719.747211,6948.646497,0.099258,-356.692535,88.206108,-25.650661,16.694134,-4.345403,15.386952,-22.00659,0.705341,-16.617756,-2.169059,-9.152279,-0.383366,2.15471,-9.367912,-3.818097,1.608914,-6.248724,3.591924,-3.741955,-5.954679,1
0.434329,0.027886,2545.528036,2405.067048,4622.543917,0.073361,-283.324738,171.507355,-110.135544,9.149876,-45.973034,-8.423605,-7.84845,-29.841854,10.80406,-11.760098,10.781512,-5.495405,-1.943248,3.539343,-15.536359,10.13636,-12.397749,10.851212,-6.611948,2.369613,1
0.496297,0.018376,2952.10045,3319.309307,5179.668872,0.077733,-455.904816,129.022171,-9.899938,45.858345,9.632898,10.039736,9.051789,-1.683776,-4.402555,3.209979,-4.792512,1.433411,2.96941,0.258617,-0.518288,-2.179632,1.172414,1.203584,-4.983607,-2.728541,1
0.484732,0.009286,4732.506378,3751.099181,8111.794109,0.168381,-452.994812,82.232239,-14.261918,51.614849,-5.831944,31.723663,-23.875406,-4.526996,5.486572,-9.000635,2.449595,-3.115735,-8.386254,1.582391,-15.335882,3.019452,-6.347573,-3.962761,-1.507479,-4.018589,1
0.344141,0.118574,3769.873599,3097.164604,6758.811924,0.109304,-222.760162,91.903831,-57.611481,52.126896,-25.60397,5.853086,-33.128338,-6.942915,-8.549141,-18.059427,3.196777,-9.872565,-4.734608,-7.923746,-10.518868,-7.154303,-3.143601,-11.006968,-18.654007,-7.155444,1
0.406324,0.018206,1846.840934,2830.517828,3249.522162,0.036297,-446.609741,169.926148,-1.408793,22.167141,16.360237,22.019602,-18.893776,-0.756164,2.034092,-3.982237,10.116449,1.039153,-1.837765,-1.296147,9.468679,0.666412,-3.460676,8.016109,-10.485151,-6.164204,1
0.399559,0.014014,3333.123995,3402.815958,6105.472137,0.097445,-448.794067,146.307922,-6.949537,34.782146,-12.98085,38.067162,-14.480119,-3.308026,1.153661,-32.48666,8.318495,-13.300172,4.025961,3.14213,-7.297667,4.016136,-6.715135,-0.761462,2.840847,-3.655635,1
0.540152,0.043086,2017.215856,2918.169554,4002.935332,0.029105,-375.618683,152.391892,-1.230981,15.249006,15.954917,19.067173,0.986618,1.684579,2.042645,-8.98982,-2.058635,3.974371,6.046315,5.168583,2.842668,5.613783,3.347019,1.456532,4.405957,3.081735,1
0.398376,0.035093,3524.450489,3389.359453,6465.810998,0.09574,-342.395599,103.816406,-24.557123,57.55024,-6.171584,17.39315,-26.593332,5.345888,-11.044216,-7.812431,-3.574436,-7.693543,-3.632736,-0.398258,-1.152837,-11.12753,-1.227729,-7.554498,-7.575055,-9.970885,1
0.479012,0.049468,3959.183,3627.488804,6858.138491,0.121204,-343.862976,98.698914,-26.79084,1.227241,-26.062607,-5.704687,-10.667265,-7.47545,-9.016161,-3.376224,-6.499022,0.887897,-5.389281,-6.231124,-5.905906,-0.460201,-2.053272,-1.142961,-5.394171,-2.874667,1
0.515924,0.033709,2645.618973,3159.663249,5531.668285,0.050852,-370.758575,129.455887,-13.98567,56.260868,-7.967863,20.471449,10.520046,0.744548,8.928703,-7.660399,9.892629,3.000288,6.937072,5.839281,-3.927464,5.984255,-0.897422,7.19776,1.896431,-0.846385,1
0.397772,0.014443,3312.951428,3989.523563,6909.668815,0.05801,-438.66037,117.565964,-21.528494,36.797321,-0.583222,2.029032,-32.254532,2.601609,7.705687,14.574089,10.329136,8.739161,-1.60643,-0.8873,4.287757,-0.063547,5.030304,-0.799201,-0.666841,-6.765219,1
0.41774,0.036892,2070.326006,2761.379435,3612.972758,0.041724,-392.653992,156.428848,10.773335,48.628895,-0.636321,14.234016,2.476034,1.53043,4.554606,-0.180849,1.624517,-7.95961,4.823297,4.756505,-0.159671,4.24473,-1.102319,9.274335,2.794614,-2.103038,1
0.428153,0.027881,3864.505288,3351.077774,6627.870134,0.122364,-378.181671,97.316071,-33.91909,55.324074,-17.273418,16.999958,-28.783434,2.753701,-13.991901,-0.77896,-11.092308,-3.792676,-4.296673,-4.983297,-0.19396,-13.613747,-3.359485,-8.877789,-6.354196,-12.804341,1
0.411583,0.033146,1911.460904,2816.511146,3743.41667,0.034312,-361.364746,165.345505,-17.959568,57.764496,1.356598,29.623917,-3.41132,-9.326898,5.422297,-6.649239,10.042118,-9.700036,-1.483855,3.854891,-0.730986,6.450547,-4.324345,6.550907,-0.854678,-2.957114,1
0.590366,0.015954,5340.219484,5123.833979,11187.54976,0.135947,-525.962158,50.81741,23.829161,24.612617,4.831506,9.84326,5.062311,0.16362,-0.852387,-1.988492,-1.044384,-1.068862,0.402469,-0.091069,0.815396,0.963962,-0.875435,-0.270659,-0.468012,-2.348672,1
0.47087,0.031613,2336.997924,2862.908923,4407.958702,0.054131,-357.052582,156.53891,-21.335373,34.971252,15.339838,25.106186,-11.946584,2.543557,-3.278825,-5.378898,4.479239,-2.67382,5.887448,4.224699,2.358001,7.848721,1.786392,1.918927,4.489715,-1.849744,1
0.565035,0.004127,4387.744658,4040.43445,7596.739805,0.158418,-528.959106,103.184822,-21.997093,40.18198,-9.503026,17.702995,0.967118,-10.472633,12.633622,-16.96731,9.515881,-14.706841,2.724205,-0.957284,-6.657287,6.230459,-13.686417,3.369089,-0.792776,-1.252205,1
0.372534,0.068782,2405.427337,2581.314874,3952.649702,0.067662,-301.868012,149.231552,-23.411505,29.831219,-11.888896,7.947369,-3.799064,-8.7411,-12.538326,-18.360039,-0.410309,-3.496041,-0.851696,-1.60368,-1.673403,-3.577371,-4.979754,-4.913057,0.993953,-1.718438,1
0.433085,0.009233,3357.168766,3591.845704,6165.715318,0.098351,-492.441467,132.40068,-21.687881,29.112141,1.774354,14.470964,-10.388714,-2.220764,4.095242,-21.947659,-3.28148,-7.721834,-2.206563,-0.060763,-1.178021,1.019427,-1.892919,-4.548703,4.814579,-4.561034,1
0.43442,0.010428,3654.215839,3476.884276,6029.296875,0.123343,-485.487274,122.040565,-5.436024,33.132732,-18.011332,27.798506,-5.244969,-11.905595,4.113819,-15.520403,8.301288,-8.445394,-2.936203,0.36549,-8.42342,6.770203,-2.236708,1.512651,2.4126,-4.973174,1
0.468691,0.0122,3275.220808,3411.030042,5619.170261,0.08874,-443.711334,113.093475,-11.544803,50.592735,14.145126,25.058577,-19.160055,-2.521993,2.555607,-4.488588,-5.593339,-0.199856,-10.362371,-4.628148,-9.57369,-2.227528,-6.525298,-4.397285,-3.571888,-2.702499,1
0.442854,0.046502,3970.685216,3089.780163,6629.737175,0.109372,-306.604401,89.365967,-32.726528,77.427147,-9.247347,29.467237,-12.403417,1.613203,-4.648925,6.137615,2.834234,0.807043,7.690222,3.164665,6.895634,0.426539,3.555742,0.275777,-0.577404,-1.610506,1
0.621211,0.00979,5600.421687,5190.062641,11638.13694,0.158971,-523.259155,51.512161,13.075025,27.608009,1.662046,7.824314,3.413192,-1.761084,-3.802957,-2.90063,-0.252084,2.631141,5.100358,1.706925,0.995365,1.296821,0.272858,-0.339985,-0.915972,-1.328771,1
0.376925,0.063894,2511.871178,2963.926056,4393.909236,0.063645,-314.00296,123.670136,-24.636278,21.546938,-5.253685,8.233521,-2.686681,-11.240396,-13.069501,-7.493062,-3.080966,-7.658234,-5.806044,-8.498114,-3.869466,-6.827987,-6.138383,-6.081225,-2.835135,-5.476385,1
0.524785,0.021836,2164.688722,3755.345785,4246.895322,0.025433,-494.563751,129.904785,8.824539,20.999596,6.472136,6.726955,7.162444,0.609944,6.444743,8.530656,-0.911812,5.842306,9.333867,2.941922,6.805934,7.868904,4.011674,5.188487,2.713863,3.433317,1
0.537752,0.019957,3042.041922,3695.712615,6473.901508,0.075638,-397.713074,135.837585,-10.583462,30.558077,4.184983,22.851236,-15.006731,6.228925,-7.701502,-6.101829,0.086243,0.751118,-3.923601,-1.11212,-1.05664,2.629498,-1.070511,-6.128715,4.745981,-3.362852,1
0.367057,0.054166,1806.708821,2258.716582,3236.452877,0.040223,-328.329254,181.778229,-23.594803,18.256918,19.415401,30.571943,-8.203073,-8.066291,-4.428874,-18.097672,-6.656275,-0.385677,-2.767006,0.207437,1.967261,2.341382,0.252219,-1.095078,5.714018,1.062867,1
0.388138,0.013882,1919.527499,2871.906108,3301.052486,0.044363,-453.799957,182.727508,-2.11678,17.499834,7.625248,22.216051,-26.653038,-6.115479,10.565783,-21.232309,5.469139,-12.812259,-7.253607,5.83623,-3.212898,-1.420378,-3.483638,-5.174298,3.655108,-3.01529,1
0.395817,0.017738,2021.546346,3389.517357,3171.029061,0.030553,-454.852112,120.325127,12.640079,-11.659337,-0.020981,22.731544,7.868263,-2.085675,-3.584345,-1.201629,-3.520915,2.584023,0.486881,-5.554902,-8.621036,-5.605291,-4.897984,-1.050937,-2.506978,-7.345717,1
0.388345,0.020333,2270.628886,3122.450017,4250.380464,0.040426,-413.064179,149.264542,-5.511024,45.041801,7.013087,17.042667,-15.259737,2.004431,-0.615756,-2.824037,2.09057,-1.140727,-0.030378,5.472214,7.387036,-0.078986,-0.290902,5.350217,-4.276505,-5.772668,1
0.37561,0.011319,3188.850221,3446.274897,5479.640083,0.092209,-502.090332,133.045029,-16.572414,15.392257,-9.012683,6.991904,-20.017374,-14.596692,-5.429471,-21.371695,1.724861,-8.553499,-8.614259,-5.148968,-6.455191,-10.896131,-7.504581,-5.528057,-15.461697,-12.996526,1
0.341215,0.062255,2600.189008,3169.665579,4834.917396,0.060945,-329.692688,120.665627,-18.148308,18.101164,-10.843313,6.638852,-26.795568,1.847175,-12.912456,-1.003384,-18.284258,-8.130786,3.139549,-13.521447,-5.617729,-2.816797,-7.284464,3.602847,-5.203038,-7.995026,1
0.399798,0.044808,2042.968992,2287.559928,3283.86246,0.061312,-302.639221,150.810364,-41.620243,-15.13244,-21.735558,-12.701317,-19.475548,4.412963,0.385814,-0.645191,-4.503327,-2.92483,3.871824,-6.903889,0.200131,2.202772,-9.088532,-2.467414,-6.816056,-6.519903,1
0.484094,0.020518,2601.309167,3089.010861,4297.803299,0.073327,-448.854736,146.954239,-9.710002,32.577576,8.661207,12.389575,9.736832,-5.45288,-6.783432,1.104002,-6.705127,-2.299434,0.257288,-2.085214,0.890243,1.231245,-0.371233,1.504905,-1.585255,-2.31239,1
0.489212,0.039029,3395.501383,3787.980865,6675.168499,0.088401,-401.701508,119.833862,-19.179569,19.281691,11.786697,18.67305,-9.244699,5.380641,-6.659774,1.967568,-9.289474,4.485883,-10.484469,-3.04925,-8.434613,3.653428,-3.602184,0.974584,-2.612105,-0.019806,1
0.413513,0.036381,2491.025441,3311.032008,4544.187898,0.057586,-393.681976,119.923439,-8.315945,11.332471,-0.311305,8.255306,-17.181034,3.780829,-8.790092,-3.956727,-12.680829,-5.724184,0.312014,-11.306483,-4.047928,0.661722,-5.848134,2.367994,-2.729973,-5.376225,1
0.399653,0.044242,2891.895188,3353.568718,5757.704683,0.056118,-326.831543,129.085953,-22.901789,44.660709,-12.802455,12.593256,-16.431911,16.654425,-0.543902,2.656176,-1.553997,2.929204,0.900594,-5.155909,2.277551,-5.908425,1.780371,-6.252302,-4.158788,-6.258783,1
0.349964,0.116419,1644.476927,2222.898478,2673.851269,0.037902,-289.065521,169.18718,-7.649945,20.521208,-9.766916,7.143676,-10.520097,-7.024253,-7.906206,-23.156322,-4.508751,-9.894408,-10.217896,-5.268443,-1.607171,-6.304504,-7.729285,-3.764247,-8.172352,-6.139291,1
0.477346,0.052504,3104.764172,3891.478335,6744.746884,0.08187,-369.888886,141.485306,-8.334734,-1.330619,2.22275,13.000875,-13.752851,-2.314888,-9.464484,-3.683355,-7.293371,7.88178,-8.357776,-5.37045,-6.118023,-0.031904,-3.252365,-0.449649,-0.494609,1.040616,1
0.454576,0.022639,3557.201587,3495.009116,6585.550544,0.084159,-389.264801,103.599373,-27.958349,67.999207,1.202623,24.087427,-17.061207,1.951515,-12.308994,2.479358,-2.320674,-0.980972,-0.355416,0.053904,4.160115,-5.425838,2.060939,-4.084203,-4.941305,-11.565497,1
0.355629,0.011499,2797.865347,3147.29802,4568.773144,0.075559,-457.393066,147.849167,-20.320662,14.549373,-2.382733,11.437879,-28.797073,-10.878453,-6.767819,-14.492896,2.49062,-7.435267,-8.907694,-6.520977,-1.646366,-12.557027,-11.007621,-4.965295,-17.647944,-13.45901,1
0.453247,0.028983,1866.2159,2675.612486,3441.080541,0.039506,-405.389374,157.316254,2.958895,7.249481,14.840314,-5.320256,-8.261973,-13.257536,-10.605416,0.388282,6.821999,8.030381,1.17311,1.109276,9.445138,4.6231,-1.957556,3.235076,4.116521,-4.483122,1
0.367063,0.036579,2894.412894,2878.596248,5023.584267,0.088794,-362.451446,132.19397,-22.819914,36.003754,-9.227009,10.956653,-1.172684,-10.252476,-8.963532,-5.14794,-7.891112,-6.241453,1.082233,-2.13049,-0.27334,-0.299886,-7.361294,3.316427,-3.791327,-6.935571,1
0.439658,0.025212,2635.552064,3044.914079,4637.738854,0.070415,-363.876099,123.909843,-30.769335,-0.145874,-3.730676,-0.675064,-10.77431,3.493632,-1.035143,-1.631529,0.037568,5.609468,4.644429,-7.338618,-6.272542,0.398295,-3.194106,1.192926,-2.386646,-3.720038,1
0.332818,0.025759,4004.250289,4145.886331,8316.207205,0.106635,-422.136749,86.814842,-9.302888,18.096861,-10.590298,-0.371308,-12.902982,-6.263028,-8.402422,7.224011,2.436009,-1.012203,3.103325,-5.824873,-2.291042,-2.201237,1.447008,-2.597292,1.004118,-0.353389,1
